,sum_sq,df,F,PR(>F),partial_eta_sq,effect_size,sig
C(format),76082.45444444758,2.0,0.17469766599602732,0.8404184520482608,0.009612136014943354,negligible,ns
C(chunking),1381522.320277794,2.0,3.172199512177543,0.05384154218773175,0.14982852916878098,large,ns
C(corpus),28587076.769999936,3.0,43.76037923447675,4.274191649542811e-12,0.7847934292279638,large,***
C(format):C(chunking),15538.389722222446,4.0,0.01783933258745587,0.999345638177996,0.0019782269265976485,negligible,ns
C(format):C(corpus),33883.03999999916,6.0,0.02593365337677567,0.9999139808242347,0.004303673898275187,negligible,ns
C(chunking):C(corpus),1020583.017499994,6.0,0.7811414270404686,0.5902300401152751,0.11519320684355444,medium,ns
C(format):C(chunking):C(corpus),19690.18249999957,12.0,0.007535309226687684,0.9999999999759248,0.002505476562010905,negligible,ns
Residual,7839167.010000001,36.0,,,,,
