,ragas_faithfulness,ragas_faithfulness,ragas_answer_relevance,ragas_answer_relevance,factscore,factscore,selfcheck_consistency,selfcheck_consistency
,mean,std,mean,std,mean,std,mean,std
format,,,,,,,,
json,0.9005,0.0554,0.8825,0.016,0.9196,0.0447,0.9704,0.0118
toon,0.8898,0.0634,0.8834,0.0158,0.9053,0.0536,0.9706,0.0124
yaml,0.9002,0.0633,0.8815,0.0162,0.9121,0.0515,0.9706,0.0124
