,sum_sq,df,F,PR(>F),partial_eta_sq,effect_size,sig
C(format),0.004906491805555837,2.0,1.526620837791938,0.22191968275144663,0.027493494377257427,small,ns
C(chunking),0.0010878905555553136,2.0,0.338489588317909,0.7135996990966567,0.0062292785626246044,negligible,ns
C(corpus),0.165495179444445,3.0,34.32845021201242,1.1621249585105761e-15,0.4881161195579561,large,***
C(format):C(chunking),0.0005892411111111615,4.0,0.09166913900552896,0.9849024918870399,0.0033836652343264928,negligible,ns
C(format):C(corpus),0.007362767638888839,6.0,0.7636246661766304,0.6000828213770322,0.04069707637848579,small,ns
C(chunking):C(corpus),0.003559983888888862,6.0,0.3692214180966879,0.8970498467230918,0.02010000367968478,small,ns
C(format):C(chunking):C(corpus),0.002007417777777769,12.0,0.10409901586028618,0.999940078794465,0.011434301810528957,small,ns
Residual,0.17355361,108.0,,,,,
