,sum_sq,df,F,PR(>F),partial_eta_sq,effect_size,sig
C(format),0.027723845746886466,2.0,0.0034397472347578377,0.9965664894110532,0.00019106055748519758,negligible,ns
C(chunking),2.733783741933934,2.0,0.3391854489667707,0.7146021728683553,0.018495120729905726,small,ns
C(corpus),209.53010870530812,3.0,17.331184102853275,3.9424631815862387e-07,0.5908791149405841,large,***
C(format):C(chunking),0.03444493989729889,4.0,0.0021368227165316687,0.9999903911007492,0.00023736838915172696,negligible,ns
C(format):C(corpus),0.41256166074562906,6.0,0.01706242157831767,0.9999749289415409,0.0028356730216274003,negligible,ns
C(chunking):C(corpus),2.502880186968884,6.0,0.10351227700824138,0.9955198496448862,0.016959460767887565,small,ns
C(format):C(chunking):C(corpus),0.5004825140705775,12.0,0.010349293766433641,0.9999999998414819,0.0034379046271686975,negligible,ns
Residual,145.07729475043496,36.0,,,,,
