,sum_sq,df,F,PR(>F),partial_eta_sq,effect_size,sig
C(format),1.890416666660938e-06,2.0,0.02216291558513083,0.978085324655402,0.00041025598363698496,negligible,ns
C(chunking),0.00012129875000005507,2.0,1.4220854080711953,0.2456905279589567,0.025659182573164147,small,ns
C(corpus),0.015643716666667168,3.0,122.2694721347496,1.3792926922318101e-34,0.7725398365557837,large,***
C(format):C(chunking),1.8824583333346458e-05,4.0,0.11034806735996895,0.9786695416471959,0.004070330159014987,negligible,ns
C(format):C(corpus),4.8566249999995574e-05,6.0,0.18979408402724687,0.979112864593621,0.010434097447750009,small,ns
C(chunking):C(corpus),0.00046261125000003573,6.0,1.8078578942056367,0.10421102417948305,0.09126973264153349,medium,ns
C(format):C(chunking):C(corpus),0.00017558708333333323,12.0,0.34309206134166104,0.9790229755622074,0.036721468555495886,small,ns
Residual,0.004606005000000005,108.0,,,,,
