,ragas_faithfulness,ragas_faithfulness,ragas_answer_relevance,ragas_answer_relevance,factscore,factscore,selfcheck_consistency,selfcheck_consistency
,mean,std,mean,std,mean,std,mean,std
corpus,,,,,,,,
bpolicy,0.9411,0.0232,0.9034,0.0055,0.9444,0.0297,0.9835,0.0058
financebench,0.8575,0.0314,0.8836,0.0086,0.8841,0.0329,0.9588,0.0064
hotpotqa,0.8481,0.072,0.8764,0.0114,0.8732,0.0568,0.978,0.0067
msmarco,0.9406,0.0163,0.8665,0.0069,0.9476,0.0182,0.9619,0.0059
