corpus,mean,std,min,max
bpolicy,0.9705,0.0108,0.9452,0.98
financebench,0.9139,0.0159,0.8812,0.9408
hotpotqa,0.8286,0.0348,0.7728,0.8595
msmarco,0.742,0.03,0.667,0.7752
