dv,model,F,df,resid_df,p,partial_eta_sq,format_sum_sq
faithfulness,two-way,1.3158442967858002,2.0,135.0,0.2716656898139659,0.01912124032237238,0.009433626666666282
faithfulness,six-term,6.681847859054477,2.0,130.0,0.0017289032138462302,0.09321534054469079,0.009433626666665744
ragas_faithfulness,two-way,0.4605277782913929,2.0,135.0,0.6319380692411729,0.006776400851296789,0.003544818472221966
ragas_faithfulness,six-term,1.9059891848937578,2.0,130.0,0.15280706773526434,0.02848757201132747,0.003544818472221893
