metric,corpus,F,df,p,partial_eta_sq,sig,top_format
mrr,bpolicy,1.6174066083797565,2.0,0.251132688744179,0.2643941643774664,ns,yaml
mrr,financebench,6.45634482568726,2.0,0.018237306500628304,0.5892790824317883,*,yaml
mrr,hotpotqa,10.436278903029024,2.0,0.004522363284453454,0.698720141126488,**,toon
mrr,msmarco,37.178272453302654,2.0,4.465423154061473e-05,0.8920300738222317,***,toon
ndcg_at_5,bpolicy,1.7163066041362944,2.0,0.23364709798103944,0.27609748254603045,ns,yaml
ndcg_at_5,financebench,3.6211208052419064,2.0,0.07017532669346771,0.44588929189485726,ns,yaml
ndcg_at_5,hotpotqa,24.6590223944866,2.0,0.00022283222385536858,0.8456738384737185,***,toon
ndcg_at_5,msmarco,21.940560728629862,2.0,0.0003461292786181352,0.8298069376748355,***,toon
