,sum_sq,df,F,PR(>F),partial_eta_sq,effect_size,sig
C(format),0.753459670795335,2.0,1.457047727183849,0.2374645272192069,0.026273445610586216,small,ns
C(chunking),0.30366811835525653,2.0,0.587236396077673,0.5576262555937878,0.01075776014408871,small,ns
C(corpus),30.31907502452346,3.0,39.08755046187317,3.4925550614244875e-17,0.5205596696315251,large,***
C(format):C(chunking),0.18518685649057762,4.0,0.1790580828759523,0.9487840646877825,0.006588090077660457,negligible,ns
C(format):C(corpus),1.2027473993876454,6.0,0.7752949195914697,0.5910187488263403,0.04129335506642147,small,ns
C(chunking):C(corpus),1.6323499767646696,6.0,1.052218150399022,0.39598286397437066,0.05522811790694223,small,ns
C(format):C(chunking):C(corpus),0.5185708391584135,12.0,0.16713623211843834,0.9992763242513399,0.018232109558146574,small,ns
Residual,27.92415201222456,108.0,,,,,
