,sum_sq,df,F,PR(>F),partial_eta_sq,effect_size,sig
C(format),0.7534596707953257,2.0,0.8256670660196077,0.44014192429018034,0.012084288401045654,small,ns
C(chunking),0.303668118355268,2.0,0.33276998629724747,0.7175214713210286,0.004905740785235067,negligible,ns
C(format):C(chunking),0.18518685649057734,4.0,0.1014670687699651,0.9817959353798434,0.002997420128463934,negligible,ns
Residual,61.596895252058786,135.0,,,,,
