metric,chi2,df,p,n_blocks,best_format
ragas_faithfulness,8.166666666666629,2,0.016851201259947823,48,yaml
ragas_answer_relevance,7.7591623036649215,2,0.020659476553677267,48,toon
factscore,13.581151832460696,2,0.001124321072927888,48,json
selfcheck_consistency,0.6666666666666288,2,0.7165313105738028,48,yaml
recall_at_5,6.058823529411712,2,0.048344067450418846,24,toon
mrr,6.164383561643836,2,0.045858634343033146,24,yaml
ndcg_at_5,2.7857142857142856,2,0.248364676570514,24,yaml
ctx_tokens_per_query,30.583333333333314,2,2.2851438680043695e-07,24,json
