a,b,n,mean_diff,effect_size_dz,p_raw,test,p_holm,sig,negligible_magnitude,flag
json,toon,48,0.010643749999999992,0.5984991007055951,0.0004347069028591446,Wilcoxon,0.0013041207085774337,**,False,
toon,yaml,48,-0.010402083333333333,-0.434833251529134,0.01163164875293677,Wilcoxon,0.02326329750587354,*,False,
json,yaml,48,0.00024166666666665856,0.009734358789177356,0.6407317952076045,Wilcoxon,0.6407317952076045,ns,True,
