,sum_sq,df,F,PR(>F),partial_eta_sq,effect,sig
C(format),0.0002102233333333478,2.0,0.185984198390995,0.8307715948616344,0.006265050777769917,negligible,ns
C(chunking),0.02044851999999998,2.0,18.090768232904516,7.461555363908046e-07,0.380131880712034,large,***
C(chunk_size),0.00010464222222225418,1.0,0.18515356510876022,0.6685489839404233,0.003128378553670142,negligible,ns
C(corpus),0.2358815572222214,3.0,139.12265474873212,1.0137845625673847e-26,0.8761461634109644,large,***
C(format):C(chunking),0.00013192666666666408,4.0,0.058357640318376876,0.9935157365854306,0.003940858381181169,negligible,ns
Residual,0.03334470555555557,59.0,,,,,
