a,b,n,diff,p_raw,test,p_holm,sig
json,yaml,24,-0.013137499999999988,0.01116473518047618,Wilcoxon,0.03349420554142854,*
json,toon,24,-0.009474999999999997,0.1589478741625615,Wilcoxon,0.317895748325123,ns
toon,yaml,24,-0.00366249999999999,0.3141744077599341,Wilcoxon,0.317895748325123,ns
