,sum_sq,df,F,PR(>F),partial_eta_sq,effect,sig
C(format),0.003544818472221893,2.0,1.9059891848937578,0.15280706773526434,0.02848757201132747,small,ns
C(chunking),0.0012535184722222167,2.0,0.6739957687092916,0.5114398215603034,0.010262749522398031,small,ns
C(chunk_size),0.0011088900000001012,1.0,1.1924629505286173,0.2768529421094265,0.009089416599932903,negligible,ns
C(generator),0.1168842136111096,1.0,125.69334580788734,7.93509783287404e-21,0.4915784781600292,large,***
C(corpus),0.2806853150000004,3.0,100.6131774101201,9.894724328457967e-34,0.6989622526483915,large,***
C(format):C(chunking),0.0007043144444444599,4.0,0.18934900678202704,0.9436010402335094,0.005792376187814048,negligible,ns
Residual,0.12088903888888886,130.0,,,,,
