,sum_sq,df,F,PR(>F),partial_eta_sq,effect,sig
C(format),0.004906491805554907,2.0,3.3614349843670572,0.03772611641715122,0.04917151000612776,small,*
C(chunking),0.0010878905555557863,2.0,0.7453132538543299,0.47660242545993053,0.011336370867631932,small,ns
C(chunk_size),0.002355484444444582,1.0,3.2274823358409512,0.07473403100302137,0.024225349599454916,small,ns
C(generator),0.089251562499999,1.0,122.29239810703773,1.9076641011192947e-20,0.48472486299469825,large,***
C(corpus),0.16549517944444453,3.0,75.58710758113575,2.326148455114654e-28,0.6356107242782603,large,***
C(format):C(chunking),0.000589241111111122,4.0,0.2018443893938423,0.9369611830874062,0.0061722631601569935,negligible,ns
Residual,0.0948767323611111,130.0,,,,,
