,sum_sq,df,F,PR(>F),partial_eta_sq
C(format),168.64395343609317,2.0,0.023856822614126968,0.9764349159340597,0.0008080523746427863
C(chunking),94806.60751892425,2.0,13.411595092160981,1.5805092904428425e-05,0.3125401202951551
C(chunk_size),87601.24733613232,1.0,24.784611317432432,5.8933993815946726e-06,0.29581340687410557
C(corpus),861488.4887790888,3.0,81.24563670843679,6.254209141678578e-21,0.8051113094350522
C(format):C(chunking),0.2786683111674581,4.0,1.971058058188747e-05,0.9999999991966692,1.3363087622010802e-06
Residual,208535.59197018854,59.0,,,
