,sum_sq,df,F,PR(>F),partial_eta_sq,effect,sig
C(format),0.014567449685246788,2.0,9.570385417465406,0.00010753879838109523,0.08774504079026481,medium,***
C(chunking),0.0003345605902777529,2.0,0.21979645467356781,0.8028767647574893,0.0022041406269162774,negligible,ns
C(chunk_size),0.0033427743289492443,4.0,1.0980521430615666,0.3587117075650061,0.021594772990953214,small,ns
C(generator),0.218605956296303,1.0,287.2353502518756,1.817352824769744e-40,0.5907331708874815,large,***
C(corpus),0.40343111805849863,3.0,176.69490874709277,7.4827381558719295e-56,0.7270550419758152,large,***
C(format):C(chunking),0.0011424749962667283,4.0,0.3752862127666483,0.8261094079338842,0.007486963988069257,negligible,ns
Residual,0.15145275560552363,199.0,,,,,
