a,b,n_blocks,mean_diff,ci_lo,ci_hi
json,toon,20,0.021189705882352937,0.016320514705882354,0.02631772058823529
json,yaml,20,0.010297233666862861,0.005043591818716893,0.0155356459682166
toon,yaml,20,-0.010904944084755739,-0.016345754855797527,-0.005706297822248381
