a,b,n,diff,p_raw,test,p_holm,sig
json,toon,2,0.06829999999999992,0.6666666666666666,Mann-Whitney,1.0,ns
json,yaml,2,0.02829999999999988,0.6666666666666666,Mann-Whitney,1.0,ns
toon,yaml,2,-0.040000000000000036,0.6666666666666666,Mann-Whitney,1.0,ns
