a,b,n,diff,p_raw,test,p_holm,sig
json,toon,24,-0.004158333333333338,0.05692514023139402,Wilcoxon,0.17077542069418206,ns
toon,yaml,24,0.001666666666666668,0.4795001221869535,Wilcoxon,0.959000244373907,ns
json,yaml,24,-0.00249166666666667,0.6741416549927048,Wilcoxon,0.959000244373907,ns
