,sum_sq,df,F,PR(>F),partial_eta_sq,effect,sig
C(format),1.890416666679895e-06,2.0,0.06302307751038849,0.9389504743796153,0.0009686466218347758,negligible,ns
C(chunking),0.0001212987499999356,2.0,4.043881255334725,0.019780186360951826,0.05856972669858809,small,*
C(chunk_size),2.721361111109416e-05,1.0,1.8145052914754831,0.1803121416756796,0.013765596490789456,small,ns
C(generator),0.0033158402777781135,1.0,221.08825268187707,7.886842558327899e-30,0.6297227292369886,large,***
C(corpus),0.01564371666666646,3.0,347.688840388619,6.865227710748192e-62,0.8891793451996235,large,***
C(format):C(chunking),1.8824583333332685e-05,4.0,0.3137888052481618,0.8683428555558618,0.009562711795048034,negligible,ns
Residual,0.0019497156944444445,130.0,,,,,
