,sum_sq,df,F,PR(>F),partial_eta_sq
C(format),0.0022062675000000414,2.0,2.37662286465222,0.10169895604648121,0.07455692137599812
C(chunking),0.011963460833333396,2.0,12.887210892093055,2.271546715742357e-05,0.3040353592714694
C(chunk_size),1.1044999999991347e-05,1.0,0.023795663526805077,0.8779324347353514,0.0004031537324786007
C(corpus),0.5396734655555538,3.0,387.5626437517685,9.062404016047185e-39,0.9517061612130551
C(format):C(chunking),0.0005324891666666495,4.0,0.2868024681230952,0.8854075367931752,0.019073368073504668
Residual,0.02738545194444443,59.0,,,
