a,b,n,diff,p_raw,test,p_holm,sig
json,toon,48,0.010643749999999992,0.0004347069028591446,Wilcoxon,0.0013041207085774337,**
toon,yaml,48,-0.010402083333333333,0.01163164875293677,Wilcoxon,0.02326329750587354,*
json,yaml,48,0.00024166666666665856,0.6407317952076045,Wilcoxon,0.6407317952076045,ns
