outcome,chi2,p,n_blocks
ragas_faithfulness,8.166666666666629,0.016851201259947823,48
ndcg_at_5,2.7857142857142856,0.248364676570514,24
tokens_per_chunk,48.0,3.7751345442790964e-11,24
