,sum_sq,df,F,PR(>F),partial_eta_sq,effect,sig
C(format),0.004412535000000531,2.0,5.236626650929151,0.006497275164415682,0.07455692137600513,medium,**
C(chunking),0.02392692166666577,2.0,28.395549423254664,5.863627832828455e-11,0.30403535927146036,large,***
C(chunk_size),2.208999999998891e-05,1.0,0.052431123025178474,0.8192455119729858,0.000403153732478714,negligible,ns
C(generator),7.099748146989117e-30,1.0,1.6851415506688826e-26,0.9999999999998966,1.2962627312837559e-28,negligible,ns
C(corpus),1.079346931111109,3.0,853.9515879276263,2.533874666821127e-85,0.9517061612130552,large,***
C(format):C(chunking),0.00106497833333338,4.0,0.6319376416272069,0.6405859137531791,0.019073368073506087,small,ns
Residual,0.054770903888888875,130.0,,,,,
