a,b,n,diff,p_raw,test,p_holm,sig
toon,yaml,48,0.0018208333333333386,0.0010953193093666033,Wilcoxon,0.0032859579280998096,**
json,yaml,48,0.0009895833333333308,0.0570794783667003,Wilcoxon,0.1141589567334006,ns
json,toon,48,-0.0008312500000000079,0.10507413931078635,Wilcoxon,0.1141589567334006,ns
