,sum_sq,df,F,PR(>F),partial_eta_sq,effect,sig
C(format),0.0004204466666668474,2.0,0.4097956913701375,0.6646402868365889,0.006265050777772173,negligible,ns
C(chunking),0.04089703999999863,2.0,39.86101475046633,3.158308395045127e-14,0.38013188071202664,large,***
C(chunk_size),0.00020928444444447906,1.0,0.40796548244297437,0.5241276694593563,0.0031283785536697093,negligible,ns
C(generator),7.099748146989119e-30,1.0,1.3839787212558108e-26,0.9999999999999063,1.0645990163506237e-28,negligible,ns
C(corpus),0.47176311444444563,3.0,306.5414426667001,9.381500779934984e-59,0.8761461634109651,large,***
C(format):C(chunking),0.0002638533333333557,4.0,0.12858463120999652,0.9717995103714261,0.003940858381181584,negligible,ns
Residual,0.06668941111111105,130.0,,,,,
