outcome,shapiro_W,shapiro_p,levene_stat,levene_p,normality_ok,homogeneity_ok
faithfulness,0.9912552799199382,0.5158781691528382,0.13856840638238982,0.9972998546877582,True,True
ndcg,0.9885736095729163,0.7632241907949857,0.8743587069027028,0.5428820747310903,True,True
tokens_per_chunk,0.886921891314761,9.520889876227475e-06,0.701681247312448,0.68878795941436,False,True
