,sum_sq,df,F,PR(>F),partial_eta_sq,effect,sig
C(format),0.007019428888889562,2.0,10.502363249567708,5.914700118900489e-05,0.1390997949938718,medium,***
C(chunking),0.005882250555555193,2.0,8.80093424084605,0.00026022397724385796,0.11925234187584395,medium,***
C(chunk_size),4.899999999997763e-05,1.0,0.146626116561455,0.7024060298823973,0.0011266224944635464,negligible,ns
C(generator),1.774937036747279e-30,1.0,5.311267853866712e-27,0.9999999999999419,4.0855906568205475e-29,negligible,ns
C(corpus),1.9190786155555515,3.0,1914.1975835045744,2.4490262121157815e-107,0.9778632700201069,large,***
C(format):C(chunking),0.0008665111111111459,4.0,0.6482304039777387,0.629120083713089,0.019555505560259166,small,ns
Residual,0.04344382944444451,130.0,,,,,
