,sum_sq,df,F,PR(>F),partial_eta_sq,effect,sig
C(format),7.977097222222253e-05,2.0,2.5177366330438677,0.08456804554027236,0.03729000346572135,small,ns
C(chunking),1.1369305555551082e-05,2.0,0.358838764177752,0.6991766205686579,0.005490286715045287,negligible,ns
C(chunk_size),1.3628402777787916e-05,1.0,0.8602810763776708,0.3553788830519817,0.006574042706476847,negligible,ns
C(generator),0.0077689534027782425,1.0,490.4084289732783,5.9785142845111164e-46,0.7904606160571696,large,***
C(corpus),0.026368275763888702,3.0,554.8248273904572,7.010119545802127e-74,0.9275553922379014,large,***
C(format):C(chunking),7.869444444446636e-06,4.0,0.12418795965211579,0.9735395880718666,0.003806622246221268,negligible,ns
Residual,0.0020594343055555494,130.0,,,,,
