metric,best_format,interaction_p,partial_eta_sq
faithfulness,json,0.8809631271179043,0.0089867929625402
ragas_faithfulness,json,0.9436010402335094,0.005792376187814
ragas_answer_relevance,toon,0.9735395880718666,0.0038066222462212
factscore,json,0.9369611830874062,0.0061722631601569
selfcheck_consistency,yaml,0.8683428555558618,0.009562711795048
recall_at_5,toon,0.971799510371426,0.0039408583811815
mrr,yaml,0.629120083713089,0.0195555055602591
ndcg_at_5,yaml,0.6405859137531791,0.019073368073506
